ts_utc,game,market_type,market_key,line,side_a,venue_a,price_a,side_b,venue_b,price_b,implied_cost,roi_pct,net_edge_pct,arb_survived,would_trade,exec_status,confidence,note
2026-07-06T16:35:13Z,26JUL06PORESP,team_corners,team_corners|portugal|3.5,3.5,over,polymarket,0.59,under,kalshi,0.3133,0.9033,10.7043,,,False,rejected_implausible,high,roi exceeds plausible bound — review pairing
2026-07-06T16:35:13Z,26JUL07SUICOL,corners,corners|7.5,7.5,over,polymarket,0.65,under,kalshi,0.26,0.91,9.8901,,,False,rejected_implausible,high,roi exceeds plausible bound — review pairing
2026-07-06T16:35:13Z,26JUL07SUICOL,corners,corners|9.5,9.5,over,polymarket,0.4,under,kalshi,0.51,0.91,9.8901,,,False,rejected_implausible,high,roi exceeds plausible bound — review pairing
2026-07-06T16:35:13Z,26JUL06PORESP,corners,corners|8.5,8.5,over,polymarket,0.67,under,kalshi,0.25,0.92,8.6957,,,False,rejected_implausible,high,roi exceeds plausible bound — review pairing
2026-07-06T16:35:13Z,26JUL06USABEL,corners,corners|8.5,8.5,over,polymarket,0.63,under,kalshi,0.29,0.92,8.6957,,,False,rejected_implausible,high,roi exceeds plausible bound — review pairing
2026-07-06T16:35:13Z,26JUL06USABEL,corners,corners|9.5,9.5,over,polymarket,0.52,under,kalshi,0.4,0.92,8.6957,,,False,rejected_implausible,high,roi exceeds plausible bound — review pairing
2026-07-06T16:35:13Z,26JUL06PORESP,corners,corners|10.5,10.5,over,polymarket,0.42,under,kalshi,0.5001,0.9201,8.6847,,,False,rejected_implausible,high,roi exceeds plausible bound — review pairing
2026-07-06T16:35:13Z,26JUL07SUICOL,corners,corners|8.5,8.5,over,polymarket,0.55,under,kalshi,0.38,0.93,7.5269,5.5966,True,True,dryrun,high,computed
2026-07-06T16:35:13Z,26JUL06PORESP,corners,corners|9.5,9.5,over,polymarket,0.56,under,kalshi,0.37,0.93,7.5269,5.5966,True,True,dryrun,high,computed
2026-07-06T16:35:13Z,26JUL06USABEL,corners,corners|10.5,10.5,over,polymarket,0.41,under,kalshi,0.53,0.94,6.383,4.3841,True,True,dryrun,high,computed
2026-07-06T16:35:13Z,26JUL06PORESP,team_corners,team_corners|spain|5.5,5.5,over,polymarket,0.53,under,kalshi,0.4171,0.9471,5.591,4.4932,True,True,dryrun,high,computed
2026-07-06T16:35:13Z,26JUL07SUICOL,team_corners,team_corners|switzerland|3.5,3.5,over,polymarket,0.58,under,kalshi,0.37,0.95,5.2632,3.4126,True,True,dryrun,high,computed
2026-07-06T16:35:13Z,26JUL06PORESP,corners,corners|11.5,11.5,over,polymarket,0.34,under,kalshi,0.61,0.95,5.2632,3.4126,True,True,dryrun,high,computed
2026-07-06T16:35:13Z,26JUL07ARGEGY,team_corners,team_corners|egypt|2.5,2.5,over,polymarket,0.55,under,kalshi,0.4035,0.9535,4.8768,5.5966,True,True,dryrun,high,computed
2026-07-06T16:35:13Z,26JUL07ARGEGY,corners,corners|7.5,7.5,over,polymarket,0.59,under,kalshi,0.37,0.96,4.1667,2.3541,True,True,dryrun,high,computed
2026-07-06T16:35:13Z,26JUL06USABEL,corners,corners|11.5,11.5,over,polymarket,0.31,under,kalshi,0.65,0.96,4.1667,2.459,True,True,dryrun,high,computed
2026-07-06T16:35:13Z,26JUL06USABEL,team_corners,team_corners|belgium|4.5,4.5,over,polymarket,0.52,under,kalshi,0.44,0.96,4.1667,2.2495,True,True,dryrun,high,computed
2026-07-06T16:35:13Z,26JUL07SUICOL,team_corners,team_corners|colombia|4.5,4.5,over,polymarket,0.51,under,kalshi,0.4578,0.9678,3.3271,3.3058,True,True,dryrun,high,computed
2026-07-06T16:35:13Z,26JUL06USABEL,corners,corners|7.5,7.5,over,polymarket,0.79,under,kalshi,0.1782,0.9682,3.2844,3.0928,True,True,dryrun,high,computed
2026-07-06T16:35:13Z,26JUL07SUICOL,corners,corners|10.5,10.5,over,polymarket,0.3,under,kalshi,0.6685,0.9685,3.2471,2.459,True,True,dryrun,high,computed
2026-07-06T16:35:13Z,26JUL07ARGEGY,corners,corners|10.5,10.5,over,polymarket,0.26,under,kalshi,0.71,0.97,3.0928,1.5228,True,True,dryrun,high,computed
2026-07-06T16:35:13Z,26JUL07ARGEGY,team_corners,team_corners|argentina|5.5,5.5,over,polymarket,0.45,under,kalshi,0.52,0.97,3.0928,1.2146,True,True,dryrun,high,computed
