ts_utc,game,market_type,market_key,line,side_a,venue_a,price_a,side_b,venue_b,price_b,implied_cost,roi_pct,net_edge_pct,arb_survived,would_trade,exec_status,confidence,note
2026-07-08T00:00:04Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.039,plus,kalshi,0.96,0.999,0.1001,-0.1996,False,False,dryrun,high,computed
2026-07-08T00:00:24Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.039,plus,kalshi,0.96,0.999,0.1001,-0.1996,False,False,dryrun,high,computed
2026-07-08T00:00:44Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.039,plus,kalshi,0.96,0.999,0.1001,-0.1996,False,False,dryrun,high,computed
2026-07-08T00:01:04Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.039,plus,kalshi,0.96,0.999,0.1001,-0.1996,False,False,dryrun,high,computed
2026-07-08T00:01:24Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.039,plus,kalshi,0.96,0.999,0.1001,-0.1996,False,False,dryrun,high,computed
2026-07-08T00:01:44Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.039,plus,kalshi,0.96,0.999,0.1001,-0.1996,False,False,dryrun,high,computed
2026-07-08T00:02:04Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.039,plus,kalshi,0.96,0.999,0.1001,-0.1996,False,False,dryrun,high,computed
2026-07-08T00:02:24Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.039,plus,kalshi,0.96,0.999,0.1001,-0.1996,False,False,dryrun,high,computed
2026-07-08T00:02:44Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.039,plus,kalshi,0.96,0.999,0.1001,-0.1996,False,False,dryrun,high,computed
2026-07-08T00:03:04Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.039,plus,kalshi,0.96,0.999,0.1001,-0.1996,False,False,dryrun,high,computed
2026-07-08T00:03:24Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.039,plus,kalshi,0.96,0.999,0.1001,-0.1996,False,False,dryrun,high,computed
2026-07-08T00:03:44Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.039,plus,kalshi,0.96,0.999,0.1001,-0.1996,False,False,dryrun,high,computed
2026-07-08T00:04:04Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.039,plus,kalshi,0.96,0.999,0.1001,-0.1996,False,False,dryrun,high,computed
2026-07-08T00:04:24Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.039,plus,kalshi,0.96,0.999,0.1001,-0.1996,False,False,dryrun,high,computed
2026-07-08T00:04:44Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.039,plus,kalshi,0.96,0.999,0.1001,-0.1996,False,False,dryrun,high,computed
2026-07-08T00:05:04Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.039,plus,kalshi,0.96,0.999,0.1001,-0.1996,False,False,dryrun,high,computed
2026-07-08T00:05:24Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.039,plus,kalshi,0.96,0.999,0.1001,-0.1996,False,False,dryrun,high,computed
2026-07-08T00:05:44Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.039,plus,kalshi,0.96,0.999,0.1001,-0.1996,False,False,dryrun,high,computed
2026-07-08T00:06:04Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.039,plus,kalshi,0.96,0.999,0.1001,-0.1996,False,False,dryrun,high,computed
2026-07-08T00:06:24Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.039,plus,kalshi,0.96,0.999,0.1001,-0.1996,False,False,dryrun,high,computed
2026-07-08T00:06:44Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.039,plus,kalshi,0.96,0.999,0.1001,-0.1996,False,False,dryrun,high,computed
2026-07-08T00:07:04Z,26JUL09FRAMAR,spread,spread|1.5|morocco,1.5,cover,polymarket,0.039,plus,kalshi,0.96,0.999,0.1001,-0.1996,False,False,dryrun,high,computed
